Name,Description,Website,twitter
1confirmation,Supporting teams fueling the decentralization of the web and society,https://www.1confirmation.com,https://twitter.com/1confirmation
1kx,Early-stage token fund,1kx.network,"https://twitter.com/matchbox_dao, https://twitter.com/gnosischain, https://twitter.com/PlaymintUK, https://twitter.com/metalabel_xyz, https://twitter.com/safe, https://twitter.com/IVLeagueDAO, https://twitter.com/songcamp_, https://twitter.com/spin_amp, https://twitter.com/reservoir0x, https://twitter.com/ReadyPlayerDAO, https://twitter.com/0xCitadel, https://twitter.com/Macro_Hacks, https://twitter.com/kongiscash, https://twitter.com/Highlight_xyz, https://twitter.com/Molecule_dao, https://twitter.com/HydraVentures_, https://twitter.com/lootproject, https://twitter.com/SpearbitDAO"
8Decimal Capital,Multi-strategy investment firm focusing on both token and equity investments,http://8dcapital.com,
21 Capital,Investment firm dedicated to the active dynamic management of blockchain digital assets,https://21-capital.com,
21M Capital,Investment and advisory firm focused on startups developing blockchain technology and digital assets ,https://21mcapital.com,https://twitter.com/21m_capital
100&100 Venture Capital,"Venture Capital is an investment firm focused exclusively on venture projects about the blockchain tech, cryptocurrency and related assets",http://100and100capital.com,
256 Capital,Digital Asset Investment Firm with multiple Funds,https://www.256.capital,
A Capital,"VC that supports projects with capital, talent & future funding rounds",https://acapital.com,
Accomplice,Seed-led tech-focused venture capital firm that embraces risk,https://accomplice.co,
Alameda Research,Quantitative trading firm,https://www.alameda-research.com,
Alphabit Fund,Alphabit specializes in investments in blockchain and distributed ledger technology projects.  We offer a wide range of advisory services and act as the Investment Advisor to the Alphabit Fund; one of the world’s first regulated digital asset investment funds,https://www.alphabit.fund,
Andreessen Horowitz,"Venture capital firm in Silicon Valley, California, that backs bold entrepreneurs building the future through technology",https://a16z.com,
Anmi Group,Venture capital cooperation organization focusing on investing in blockchain technology-related companies,https://anmi.group,
Arca,"Arca investment management firm specializes in Hedge Funds, blockchain companies, cryptocurrency investments and other digital assets",https://www.ar.ca,https://twitter.com/arca
Arrington XRP Capital,Digital asset management firm in blockchain-based capital markets,http://arringtonxrpcapital.com,https://twitter.com/arringtonxrpcap
Ausum Ventures,Venture fund focused on the intersection of blockchain technology and social impact,https://www.ausum.vc,https://twitter.com/ausumventures
Binance Labs,Binance Labs invests in technical teams that build and support the decentralized web,https://labs.binance.com,"https://twitter.com/BinanceLabs, https://twitter.com/binance"
BlockAsset Ventures,Investing in portfolio of leading digital assets with partners,http://blockasset.ventures,
Blockchain Capital,"Venture firm in the blockchain industry with investments in companies and protocols in the sector, across different stages, geographies and asset types",https://blockchain.capital,https://twitter.com/blockchaincap/
Blockchain.com,Blockchain Ventures is a venture capital fund and a subsidiary of Blockchain.com,https://www.blockchain.com/de/ventures,https://twitter.com/blockchain
Blockchange VC,Blockchain venture fund,https://blockchange.vc,
Blockrocket,Early-stage investor and digital accelerator for blockchain startups in Germany,https://www.blockrocket.io,https://twitter.com/blockrocketvc
BlockTower Capital,Crypto asset investment firm and portfolio manager,https://www.blocktower.com,
BlockVC,Crypto asset investment firm,https://www.blockvc.com,
Blockwall,German Blockchain Venture Capital Fund,https://www.blockwall.capital,"https://twitter.com/solana, https://twitter.com/sedaprotocol, https://twitter.com/blockwallcap, https://twitter.com/POKTnetwork, https://twitter.com/getbusha, https://twitter.com/Fetch_ai, https://twitter.com/Staex_io"
BlueYard Capital,"BlueYard invests in founders with transforming ideas that decentralize markets, empower users & liberate data",https://blueyard.com,"https://cytosolix.com/, https://twitter.com/blueyard?lang=en"
Bollinger,"Investment in blockchain protocols, the companies building on them, and the infrastructure that supports them.",https://www.bollinger.xyz,https://twitter.com/Bo11inger
Boost VC,Investment of $500k for 15% in 20 companies a year through an Accelerator Program,https://www.boost.vc,
Borderless Capital,Financial institution that accelerates the Algorand ecosystem,https://borderlesscapital.io,https://twitter.com/borderless_cap
BR Capital,Proprietary multi-strategy algorithmic trading with steady incomes and mostly delta neutral. Venture capital investments in companies,https://br.capital,"https://globedx.com/, https://www.okex.com/, https://twitter.com/brcapital_fund"
Castle Island Ventures,Venture capital firm focused exclusively on public blockchains. We invest in infrastructure and application companies,http://www.castleisland.vc,
CMS Holdings,Principal investment firm focused on making investments across the cryptoasset ecosystem,http://cmsholdings.io,
CMT Digital,"CMT Digital, a division of the CMT Group, is focused on crypto asset trading, blockchain technology investments, and legal/policy engagement in the crypto asset / blockchain technology industry",https://cmt.digital,
Coinbase Ventures,Coinbase Ventures invests in companies building the open financial system. ,https://ventures.coinbase.com/,
Coincident Capital,Long and short trading of leading cryptocurrencies,https://www.coincidentcapital.com,https://twitter.com/CoincidentCap
